method,cancer,MCC,F1,AUC,Precision,ks
DriverML,CHOL,0.051806905806220965,0.5142562588114072,0.4748240738123132,0.15,4.581611743708539e-05
MaxMIF,CHOL,0.08642940259121543,0.5266977263312342,0.5819442049995244,0.23,9.192119585313855e-11
MutPanning,CHOL,0.025486151137846646,0.5046910321011617,0.5608645669146058,0.09,1.5355619511505174e-07
WITER,CHOL,0.025486151137846646,0.5046910321011617,0.5608645669146058,0.09,1.5355619511505174e-07
driverRWH,CHOL,0.08333309610436382,0.5260580645643093,0.556871736832909,0.22,5.842524804393519e-06
DNmax,COAD,0.04738974699161036,0.5126414744974226,0.7425189324351495,0.14,6.843370032536202e-91
DNsum,COAD,0.16830415669160323,0.5561001965167607,0.7345669260976897,0.42,2.8117411262673614e-63
DriverML,COAD,0.09558519247585083,0.5301302372816228,0.5395014476778055,0.25,1.2705006239336942e-08
MaxMIF,COAD,0.21253797194003704,0.5722226548101537,0.7096431505536555,0.52,4.2563964569757573e-63
MutPanning,COAD,-0.013879508231887841,0.49042613382567524,0.538120568853926,0.0,0.002841011419361984
WITER,COAD,-0.013879508231887841,0.49042613382567524,0.538120568853926,0.0,0.002841011419361984
driverRWH,COAD,0.17013268900089432,0.5573930685600574,0.7981478981748092,0.42,3.374530897645745e-107
DNmax,DLBC,0.06898160586660909,0.5204019605723044,0.6884638826148644,0.19,1.6299195535210353e-48
DNsum,DLBC,0.10352858006660705,0.5328187382921152,0.6865039173061596,0.27,4.415096792771062e-40
DriverML,DLBC,0.06056256314014694,0.5174310545054503,0.47652406849217793,0.17,3.5564376219823685e-07
MaxMIF,DLBC,0.09512654530492726,0.5298373765711597,0.6300910404366019,0.25,1.7747753958714858e-31
MutPanning,DLBC,-0.013879508231887841,0.49042613382567524,0.5638552970128712,0.0,8.458234663425421e-10
WITER,DLBC,-0.013879508231887841,0.49042613382567524,0.5638552970128712,0.0,8.458234663425421e-10
driverRWH,DLBC,0.13541285184228213,0.5448590669617582,0.6011534151978504,0.34,8.157847137795705e-16
DNmax,ESCA,0.155349041366604,0.5514439048718316,0.7329676723319964,0.39,5.040880384347124e-89
DNsum,ESCA,0.09489183651660756,0.5297145438621625,0.705675581882681,0.25,8.784357488985157e-46
DriverML,ESCA,0.05618473447318395,0.5158436566584288,0.4807061622525497,0.16,0.0008610673173730486
MaxMIF,ESCA,0.13861225887348644,0.5455356277707871,0.685081934038623,0.35,9.242841441308997e-53
MutPanning,ESCA,-0.00950554607969512,0.4920111225229515,0.5556800419519156,0.01,1.0212210572128599e-07
WITER,ESCA,-0.00950554607969512,0.4920111225229515,0.5556800419519156,0.01,1.0212210572128599e-07
driverRWH,ESCA,0.13975283148710865,0.5464258171615456,0.6758206584909144,0.35,3.240978051565336e-48
DNmax,HNSC,0.155349041366604,0.5514439048718316,0.7361783936864428,0.39,3.1440528375679796e-93
DNsum,HNSC,0.08625509296660806,0.5266103494322099,0.7092081021455143,0.23,9.030492961978377e-54
DriverML,HNSC,0.0736960491410359,0.5221932480465149,0.491384608603883,0.2,0.0006211048471414016
MaxMIF,HNSC,0.1516579729440542,0.5502451031306754,0.7038323707915081,0.38,4.0604646655145276e-63
MutPanning,HNSC,-0.0051315839275024,0.49359611122022784,0.5614519315231455,0.02,2.6297821173703347e-06
WITER,HNSC,-0.0051315839275024,0.49359611122022784,0.5614519315231455,0.02,2.6297821173703347e-06
driverRWH,HNSC,0.14409281113193517,0.547992567361333,0.7550752628326362,0.36,3.8853242398745814e-90
DNmax,KICH,0.03443463166661112,0.5079851828524935,0.7101086949499779,0.11,6.641831221306992e-85
DNsum,KICH,0.05602649054160985,0.5157456689273753,0.635649444301333,0.16,1.3477458210204059e-33
DriverML,KICH,0.029917762471406033,0.5063192695762995,0.4713231910928026,0.1,0.00011915637659215359
